acacia-boat	ACACIA_BOAT	icon-minecraft-acacia-boat	1.08	1.8	
acacia-button	ACACIA_BUTTON	icon-minecraft-acacia-button	1.08	1.8	
acacia-chest-boat	ACACIA_CHEST_BOAT	icon-minecraft-acacia-chest-boat	1.08	1.8	
acacia-door	ACACIA_DOOR	icon-minecraft-acacia-door	1.08	1.8	
acacia_fence	ACACIA_FENCE	icon-minecraft-acacia-fence	1.08	1.8	192
acacia_fence_gate	ACACIA_FENCE_GATE	icon-minecraft-acacia-fence-gate	1.08	1.8	187
acacia-hanging-sign	ACACIA_HANGING_SIGN	icon-minecraft-acacia-hanging-sign	1.08	1.8	
acacia_leaves	ACACIA_LEAVES	icon-minecraft-acacia-leaves	1.21	1.21	161
acacia_log	ACACIA_WOOD	icon-minecraft-acacia-log	1.21	1.21	162
acacia_planks	ACACIA_PLANKS	icon-minecraft-acacia-planks	1.21	1.21	5
acacia-pressure-plate	ACACIA_PRESSURE_PLATE	icon-minecraft-acacia-pressure-plate	1.08	1.8	
acacia_sapling	ACACIA_SAPLING	icon-minecraft-acacia-sapling	1.21	1.21	6
acacia-shelf	ACACIA_SHELF	icon-minecraft-acacia-shelf	1.08	1.8	
acacia-sign	ACACIA_SIGN	icon-minecraft-acacia-sign	1.08	1.8	
acacia_slab	ACACIA_SLAB	icon-minecraft-acacia-slab	1.21	1.21	126
acacia_stairs	ACACIA_STAIRS	icon-minecraft-acacia-stairs	1.21	1.21	163
acacia-trapdoor	ACACIA_TRAPDOOR	icon-minecraft-acacia-trapdoor	1.08	1.8	
acacia-wall-hanging-sign	ACACIA_WALL_HANGING_SIGN	icon-minecraft-acacia-wall-hanging-sign	1.08	1.8	
acacia-wall-sign	ACACIA_WALL_SIGN	icon-minecraft-acacia-wall-sign	1.08	1.8	
acacia-wood	ACACIA_WOOD	icon-minecraft-acacia-wood	1.08	1.8	
activator_rail	ACTIVATOR_RAIL	icon-minecraft-activator-rail	1.08	1.8	157
air	AIR	icon-minecraft-air	1.08	1.8	0
allium	ALLIUM	icon-minecraft-allium	1.21	1.21	38
amethyst-block	AMETHYST_BLOCK	icon-minecraft-amethyst-block	1.08	1.8	
amethyst-cluster	AMETHYST_CLUSTER	icon-minecraft-amethyst-cluster	1.08	1.8	
amethyst-shard	AMETHYST_SHARD	icon-minecraft-amethyst-shard	1.08	1.8	
ancient-debris	ANCIENT_DEBRIS	icon-minecraft-ancient-debris	1.08	1.8	
andesite	ANDESITE	icon-minecraft-andesite	1.08	1.8	1
andesite-slab	ANDESITE_SLAB	icon-minecraft-andesite-slab	1.08	1.8	
andesite-stairs	ANDESITE_STAIRS	icon-minecraft-andesite-stairs	1.08	1.8	
andesite-wall	ANDESITE_WALL	icon-minecraft-andesite-wall	1.08	1.8	
angler-pottery-sherd	ANGLER_POTTERY_SHERD	icon-minecraft-angler-pottery-sherd	1.08	1.8	
anvil	ANVIL	icon-minecraft-anvil	1.08	1.8	145
apple	APPLE	icon-minecraft-apple	1.08	1.8	260
archer-pottery-sherd	ARCHER_POTTERY_SHERD	icon-minecraft-archer-pottery-sherd	1.08	1.8	
armadillo-scute	ARMADILLO_SCUTE	icon-minecraft-armadillo-scute	1.08	1.8	
armor-stand	ARMOR_STAND	icon-minecraft-armor-stand	1.08	1.8	
arms-up-pottery-sherd	ARMS_UP_POTTERY_SHERD	icon-minecraft-arms-up-pottery-sherd	1.08	1.8	
