air	AIR	icon-minecraft-air	1.08	1.8	0
stone	STONE	icon-minecraft-stone	1.08	1.8	1
granite	GRANITE	icon-minecraft-granite	1.08	1.8	1
polished_granite	POLISHED_GRANITE	icon-minecraft-polished-granite	1.08	1.8	1
diorite	DIORITE	icon-minecraft-diorite	1.08	1.8	1
polished_diorite	POLISHED_DIORITE	icon-minecraft-polished-diorite	1.08	1.8	1
andesite	ANDESITE	icon-minecraft-andesite	1.08	1.8	1
polished_andesite	POLISHED_ANDESITE	icon-minecraft-polished-andesite	1.08	1.8	1
grass_block	GRASS_BLOCK	icon-minecraft-grass-block	1.08	1.8	2
dirt	GRASS	icon-minecraft-dirt	1.08	1.8	3
coarse_dirt	COARSE_DIRT	icon-minecraft-coarse-dirt	1.08	1.8	3
podzol	PODZOL	icon-minecraft-podzol	1.21	1.21	3
cobblestone	COBBLESTONE	icon-minecraft-cobblestone	1.08	1.8	4
oak_planks	WOOD	icon-minecraft-oak-planks	1.08	1.8	5
spruce_planks	SPRUCE_PLANKS	icon-minecraft-spruce-planks	1.08	1.8	5
birch_planks	BIRCH_PLANKS	icon-minecraft-birch-planks	1.08	1.8	5
jungle_planks	JUNGLE_PLANKS	icon-minecraft-jungle-planks	1.08	1.8	5
acacia_planks	ACACIA_PLANKS	icon-minecraft-acacia-planks	1.21	1.21	5
dark_oak_planks	DARK_OAK_PLANKS	icon-minecraft-dark-oak-planks	1.21	1.21	5
oak_sapling	OAK_SAPLING	icon-minecraft-oak-sapling	1.08	1.8	6
spruce_sapling	SPRUCE_SAPLING	icon-minecraft-spruce-sapling	1.08	1.8	6
birch_sapling	BIRCH_SAPLING	icon-minecraft-birch-sapling	1.08	1.8	6
jungle_sapling	JUNGLE_SAPLING	icon-minecraft-jungle-sapling	1.08	1.8	6
acacia_sapling	ACACIA_SAPLING	icon-minecraft-acacia-sapling	1.21	1.21	6
dark_oak_sapling	DARK_OAK_SAPLING	icon-minecraft-dark-oak-sapling	1.21	1.21	6
bedrock	BEDROCK	icon-minecraft-bedrock	1.08	1.8	7
sand	SAND	icon-minecraft-sand	1.08	1.8	12
red_sand	RED_SAND	icon-minecraft-red-sand	1.21	1.21	12
gravel	GRAVEL	icon-minecraft-gravel	1.08	1.8	13
gold_ore	GOLD_ORE	icon-minecraft-gold-ore	1.08	1.8	14
iron_ore	IRON_ORE	icon-minecraft-iron-ore	1.08	1.8	15
coal_ore	COAL_ORE	icon-minecraft-coal-ore	1.08	1.8	16
oak_wood	OAK_WOOD	icon-minecraft-oak-wood	1.08	1.8	17
spruce_wood	SPRUCE_WOOD	icon-minecraft-spruce-wood	1.08	1.8	17
birch_wood	BIRCH_WOOD	icon-minecraft-birch-wood	1.08	1.8	17
jungle_wood	JUNGLE_WOOD	icon-minecraft-jungle-wood	1.08	1.8	17
oak_leaves	OAK_LEAVES	icon-minecraft-oak-leaves	1.08	1.8	18
spruce_leaves	SPRUCE_LEAVES	icon-minecraft-spruce-leaves	1.08	1.8	18
birch_leaves	BIRCH_LEAVES	icon-minecraft-birch-leaves	1.08	1.8	18
jungle_leaves	JUNGLE_LEAVES	icon-minecraft-jungle-leaves	1.08	1.8	18
sponge	SPONGE	icon-minecraft-sponge	1.08	1.8	19
wet_sponge	WET_SPONGE	icon-minecraft-wet-sponge	1.08	1.8	19
glass	GLASS	icon-minecraft-glass	1.08	1.8	20
lapis_ore	LAPIS_ORE	icon-minecraft-lapis-ore	1.08	1.8	21
lapis_block	LAPIS_BLOCK	icon-minecraft-lapis-block	1.08	1.8	22
dispenser	DISPENSER	icon-minecraft-dispenser	1.08	1.8	23
sandstone	SANDSTONE	icon-minecraft-sandstone	1.08	1.8	24
chiseled_sandstone	CHISELED_SANDSTONE	icon-minecraft-chiseled-sandstone	1.08	1.8	24
smooth_sandstone	SMOOTH_SANDSTONE	icon-minecraft-smooth-sandstone	1.08	1.8	24
note_block	NOTE_BLOCK	icon-minecraft-note-block	1.08	1.8	25
powered_rail	POWERED_RAIL	icon-minecraft-powered-rail	1.08	1.8	27
detector_rail	DETECTOR_RAIL	icon-minecraft-detector-rail	1.08	1.8	28
sticky_piston	STICKY_PISTON	icon-minecraft-sticky-piston	1.08	1.8	29
cobweb	COBWEB	icon-minecraft-cobweb	1.08	1.8	30
potted_dead_bush	DEAD_SHRUB	icon-minecraft-potted-dead-bush	1.08	1.8	31
grass	GRASS	icon-minecraft-grass	1.08	1.8	31
fern	FERN	icon-minecraft-fern	1.08	1.8	31
dead_bush	DEAD_BUSH	icon-minecraft-dead-bush	1.08	1.8	32
piston	PISTON	icon-minecraft-piston	1.08	1.8	33
white_wool	WOOL	icon-minecraft-white-wool	1.08	1.8	35
orange_wool	ORANGE_WOOL	icon-minecraft-orange-wool	1.08	1.8	35
magenta_wool	MAGENTA_WOOL	icon-minecraft-magenta-wool	1.08	1.8	35
light_blue_wool	LIGHT_BLUE_WOOL	icon-minecraft-light-blue-wool	1.08	1.8	35
yellow_wool	YELLOW_WOOL	icon-minecraft-yellow-wool	1.08	1.8	35
lime_wool	LIME_WOOL	icon-minecraft-lime-wool	1.08	1.8	35
pink_wool	PINK_WOOL	icon-minecraft-pink-wool	1.08	1.8	35
gray_wool	GRAY_WOOL	icon-minecraft-gray-wool	1.08	1.8	35
light_gray_wool	LIGHT_GRAY_WOOL	icon-minecraft-light-gray-wool	1.08	1.8	35
cyan_wool	CYAN_WOOL	icon-minecraft-cyan-wool	1.08	1.8	35
purple_wool	PURPLE_WOOL	icon-minecraft-purple-wool	1.08	1.8	35
blue_wool	BLUE_WOOL	icon-minecraft-blue-wool	1.08	1.8	35
